Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,332.500000,339.000000,332.500000,339.000000,325.458008,31754120
2020-01-03,344.000000,345.000000,335.500000,339.500000,325.938080,41811268
2020-01-06,333.000000,334.500000,332.000000,332.000000,318.737671,45343057
2020-01-07,332.500000,333.000000,326.500000,329.500000,316.337555,50879181
2020-01-08,325.000000,333.000000,325.000000,329.500000,316.337555,37567748
2020-01-09,335.000000,337.500000,333.500000,337.500000,324.017944,31481504
2020-01-10,340.500000,341.000000,336.000000,339.500000,325.938080,27032115
2020-01-13,342.000000,342.000000,339.000000,341.500000,327.858215,30663332
2020-01-14,345.500000,346.000000,344.500000,346.000000,332.178436,30223993
2020-01-15,345.000000,345.000000,337.500000,340.000000,326.418121,47434274
2020-01-16,330.000000,336.500000,330.000000,334.500000,321.137756,55211420
2020-01-17,334.000000,335.500000,332.000000,333.000000,319.697693,52060097
2020-01-20,334.000000,335.500000,333.000000,333.000000,319.697693,32658203
2020-01-30,326.000000,326.000000,316.500000,316.500000,303.856873,125451049
2020-01-31,323.000000,323.500000,319.000000,320.000000,307.217041,62526055
2020-02-03,315.000000,316.500000,312.000000,315.000000,302.416779,59560849
2020-02-04,336.500000,337.000000,325.000000,325.000000,312.017334,51890496
2020-02-05,329.000000,329.500000,324.500000,327.500000,314.417450,36601453
2020-02-06,329.500000,332.500000,329.000000,332.500000,319.217712,29267094
2020-02-07,330.000000,330.500000,326.000000,328.000000,314.897461,28798327
2020-02-10,321.500000,328.000000,321.000000,327.500000,314.417450,30632424
2020-02-11,330.500000,332.500000,330.000000,331.500000,318.257629,27524935
2020-02-12,333.500000,336.000000,333.000000,335.000000,321.617798,37612639
2020-02-13,338.000000,338.000000,335.000000,335.000000,321.617798,22757021
2020-02-14,337.000000,337.000000,334.500000,335.000000,321.617798,16933683
2020-02-17,331.500000,333.000000,330.500000,331.500000,318.257629,15937079
2020-02-18,324.500000,326.500000,322.000000,322.000000,309.137146,61825604
2020-02-19,322.500000,327.000000,322.000000,326.500000,313.457428,38781218
2020-02-20,328.000000,329.000000,325.000000,325.500000,312.497314,27011736
2020-02-21,325.500000,326.500000,323.000000,325.000000,312.017334,22813534
2020-02-24,319.500000,321.500000,319.500000,320.000000,307.217041,41693680
2020-02-25,320.000000,323.500000,317.500000,322.000000,309.137146,36195011
2020-02-26,317.000000,320.500000,316.500000,318.500000,305.776978,60479362
2020-02-27,319.000000,320.000000,315.000000,316.000000,303.376801,61250927
2020-03-02,308.000000,317.000000,308.000000,311.000000,298.576569,79912942
2020-03-03,318.500000,320.000000,316.000000,317.500000,304.816925,49679411
2020-03-04,322.000000,322.000000,317.000000,320.500000,307.697021,42941146
2020-03-05,325.000000,326.000000,323.000000,323.000000,310.097168,37861525
2020-03-06,320.000000,320.500000,315.000000,315.000000,302.416779,51546760
2020-03-09,307.500000,310.000000,305.500000,305.500000,293.296234,87871277
2020-03-10,301.500000,309.000000,301.000000,307.000000,294.736328,71950130
2020-03-11,309.000000,310.500000,302.000000,302.000000,289.936066,62216710
2020-03-12,299.000000,299.000000,287.000000,294.000000,282.255615,113527351
2020-03-13,275.000000,294.000000,272.500000,290.000000,278.415466,149995148
2020-03-16,285.000000,291.000000,275.500000,276.500000,265.454712,103873228
2020-03-17,265.000000,276.500000,265.000000,268.000000,257.294250,121323651
2020-03-18,269.500000,272.500000,260.000000,260.000000,249.613800,117437643
2020-03-19,252.000000,253.000000,235.500000,248.000000,240.404770,160811697
2020-03-20,258.500000,270.000000,256.000000,270.000000,261.730988,157664726
2020-03-23,257.000000,262.500000,252.000000,255.000000,247.190384,76466709
2020-03-24,268.000000,274.000000,266.000000,267.500000,259.307556,81952933
2020-03-25,276.500000,280.000000,274.000000,277.000000,268.516602,79447199
2020-03-26,279.500000,280.000000,275.500000,280.000000,271.424744,52845633
2020-03-27,284.000000,286.000000,273.000000,273.000000,264.639130,68752306
2020-03-30,263.500000,269.000000,262.500000,267.500000,259.307556,49159956
2020-03-31,273.000000,274.000000,269.500000,274.000000,265.608490,48837923
2020-04-01,276.500000,276.500000,271.500000,271.500000,263.185089,44515034
2020-04-06,273.000000,275.500000,270.000000,275.500000,267.062561,56392754
2020-04-07,283.500000,284.000000,280.500000,283.000000,274.332886,48787346
2020-04-08,285.000000,285.500000,283.000000,285.000000,276.271606,37912826
2020-04-09,287.500000,288.000000,282.500000,283.000000,274.332886,27620430
2020-04-10,280.000000,282.000000,279.000000,279.500000,270.940063,27252858
2020-04-13,278.500000,281.500000,278.500000,278.500000,269.970703,22196596
2020-04-14,281.000000,285.500000,280.000000,285.000000,276.271606,48809688
2020-04-15,287.000000,288.500000,286.000000,287.500000,278.695099,55216434
2020-04-16,283.000000,288.500000,283.000000,286.500000,277.725677,47815280
2020-04-17,303.500000,308.500000,300.500000,306.500000,297.113129,116368201
2020-04-20,308.000000,309.000000,302.500000,304.000000,294.689728,41381669
2020-04-21,300.500000,301.500000,293.500000,295.000000,285.965363,61479357
2020-04-22,294.500000,295.000000,290.500000,294.000000,284.995941,42192580
2020-04-23,300.000000,300.000000,294.000000,295.500000,286.450043,39474478
2020-04-24,295.500000,297.000000,294.000000,294.000000,284.995941,26008090
2020-04-27,298.000000,298.500000,296.000000,298.000000,288.873505,38493406
2020-04-28,298.500000,298.500000,294.500000,296.500000,287.419403,37395165
2020-04-29,299.000000,301.500000,298.000000,299.000000,289.842865,44059301
2020-04-30,302.000000,305.000000,301.500000,304.500000,295.174408,55126085
2020-05-04,294.500000,296.500000,294.000000,295.000000,285.965363,71581861
2020-05-05,296.500000,298.000000,295.000000,295.500000,286.450043,23547405
2020-05-06,294.500000,296.000000,292.500000,296.000000,286.934753,34240479
2020-05-07,294.500000,299.000000,294.500000,297.500000,288.388794,27621198
2020-05-08,300.000000,300.000000,296.000000,297.500000,288.388794,32295893
2020-05-11,300.000000,301.500000,298.500000,301.000000,291.781616,28727019
2020-05-12,297.500000,298.500000,295.000000,295.000000,285.965363,52089788
2020-05-13,293.000000,297.000000,292.500000,297.000000,287.904114,26156418
2020-05-14,293.000000,295.000000,292.500000,293.000000,284.026581,34315948
2020-05-15,297.500000,298.500000,294.500000,298.000000,288.873505,42494804
2020-05-18,291.000000,293.500000,290.000000,290.000000,281.118530,84986065
2020-05-19,294.000000,294.000000,291.500000,291.500000,282.572510,51250214
2020-05-20,293.000000,294.000000,291.000000,294.000000,284.995941,32677994
2020-05-21,296.000000,298.000000,295.000000,297.500000,288.388794,30997468
2020-05-22,294.500000,295.000000,291.000000,292.000000,283.057220,40192923
2020-05-25,290.500000,293.000000,288.500000,292.000000,283.057220,26803223
2020-05-26,295.000000,297.500000,293.500000,295.500000,286.450043,33856481
2020-05-27,297.000000,298.000000,295.500000,296.500000,287.419403,23375959
2020-05-28,298.500000,298.500000,293.000000,294.000000,284.995941,28444568
2020-05-29,292.000000,292.500000,290.000000,292.000000,283.057220,79774181
2020-06-01,294.000000,296.500000,293.500000,295.500000,286.450043,35811214
2020-06-02,296.000000,297.500000,296.000000,296.500000,287.419403,24771587
2020-06-03,300.000000,301.000000,298.000000,301.000000,291.781616,65176337
2020-06-04,305.000000,306.000000,304.000000,306.000000,296.628479,46572451
2020-06-05,308.500000,312.000000,308.000000,311.500000,301.959991,42981262
2020-06-08,316.000000,319.000000,315.000000,318.000000,308.260956,50302921
2020-06-09,316.500000,319.000000,314.000000,319.000000,309.230347,36417082
2020-06-10,319.000000,324.000000,318.000000,322.500000,312.623138,39984259
2020-06-11,325.500000,327.000000,318.500000,320.500000,310.684357,50104255
2020-06-12,313.000000,317.500000,312.500000,316.000000,306.322205,45992918
2020-06-15,316.000000,317.500000,308.500000,309.500000,300.021271,51032404
2020-06-16,317.000000,317.000000,314.000000,315.000000,305.352844,36608216
2020-06-17,316.500000,317.000000,313.500000,315.000000,305.352844,34522968
2020-06-18,314.500000,315.000000,313.000000,314.500000,307.307129,29044474
2020-06-19,314.000000,314.500000,312.000000,314.500000,307.307129,48130280
2020-06-22,314.500000,316.500000,312.000000,312.000000,304.864288,37374616
2020-06-23,316.000000,316.500000,312.500000,315.000000,307.795654,41300084
2020-06-24,319.000000,320.000000,316.000000,317.500000,310.238525,54147024
2020-06-29,314.000000,315.000000,310.000000,312.000000,304.864288,56580892
2020-06-30,313.500000,314.000000,311.000000,313.000000,305.841370,48991860
2020-07-01,315.000000,318.000000,314.000000,317.500000,310.238525,29532342
2020-07-02,319.000000,322.000000,318.000000,322.000000,314.635590,34526178
2020-07-03,327.000000,330.500000,326.500000,329.500000,321.964050,53341987
2020-07-06,332.500000,338.000000,332.000000,338.000000,330.269653,57256220
2020-07-07,343.500000,346.000000,338.000000,338.500000,330.758179,59046323
2020-07-08,337.500000,342.500000,337.500000,341.000000,333.201050,30720218
2020-07-09,346.000000,347.000000,343.000000,345.000000,337.109558,35522376
2020-07-10,352.500000,353.000000,345.500000,348.500000,340.529510,60902108
2020-07-13,351.000000,354.500000,350.500000,354.500000,346.392242,48069523
2020-07-14,355.000000,364.000000,354.500000,363.500000,355.186462,61764150
2020-07-15,366.000000,370.000000,361.000000,363.000000,354.697876,73438362
2020-07-16,359.000000,361.000000,353.500000,357.500000,349.323639,68220512
2020-07-17,361.000000,369.000000,360.000000,367.000000,358.606384,65727485
2020-07-20,370.000000,370.000000,362.500000,366.000000,357.629242,42769238
2020-07-21,372.500000,387.000000,371.500000,383.000000,374.240448,64219128
2020-07-22,381.000000,386.000000,379.000000,384.000000,375.217560,43759670
2020-07-23,382.000000,383.000000,379.000000,381.500000,372.774780,45209282
2020-07-24,390.000000,395.000000,382.000000,386.000000,377.171814,86682734
2020-07-27,420.500000,424.500000,416.500000,424.500000,414.791290,99333798
2020-07-28,464.000000,466.500000,428.500000,435.000000,425.051178,166307746
2020-07-29,428.000000,431.500000,419.500000,422.000000,412.348480,85663166
2020-07-30,436.500000,441.000000,428.500000,434.000000,424.074036,69293949
2020-07-31,426.000000,432.000000,425.500000,425.500000,415.768433,49897674
2020-08-03,420.500000,424.000000,415.000000,416.000000,406.485718,76429571
2020-08-04,421.500000,425.500000,418.500000,425.500000,415.768433,41223445
2020-08-05,430.500000,433.500000,426.000000,429.000000,419.188385,47223834
2020-08-06,437.500000,438.000000,431.000000,435.000000,425.051178,41029627
